No.,Formula,Name,CAS,minimum temperature,maximum temperature,a0,a1,a2,a3,a4,ideal gas heat capacity at 298.15,Eq
-,-,-,-,Tmin,Tmax,a0,a1,a2,a3,a4,Cp_IG_298.15K,Cp_IG
-,-,-,-,K,K,1.00,1.00E+03,1.00E+05,1.00E+08,1.00E+11,J/mol.K,J/mol.K
91,C₄H₆,"1,3-butadiene",106-99-0,50,1000,3.607,5.085,8.253,-12.371,5.321,79.54,1
92,C₄H₆O₃,acetic anhydride,108-24-7,298,1000,-1.274,50.172,-1.459,-1.951,1.244,99.51,1
93,C₄H₈,cyclobutane,287-23-0,50,1000,4.739,-16.423,14.488,-18.041,7.089,70.56,1
94,C₄H₈,1-butene,106-98-9,50,1000,4.389,7.984,6.143,-8.197,3.165,85.56,1
95,C₄H₈,trans-2-butene,624-64-6,50,1000,5.584,-4.890,9.133,-10.975,4.085,87.67,1
96,C₄H₈,cis-2-butene,590-18-1,50,1000,3.689,19.184,2.230,-3.426,1.256,80.15,1
97,C₄H₈,2-methylpropene,115-11-7,50,1000,3.231,20.949,2.313,-3.949,1.566,88.09,1
98,C₄H₈O,butanone (methyl ethyl ketone),78-93-3,200,1000,6.349,11.062,4.851,-6.484,2.469,103.26,1
99,C₄H₈O,tetrahydrofuran,109-99-9,50,1000,5.171,-19.464,16.460,-20.420,8.000,76.53,1
100,C₄H₈O₂,"1,3-dioxane",505-22-6,50,1000,3.834,-0.249,11.985,-15.494,6.047,89.47,1
101,C₄H₈O₂,"1,4-dioxane",123-91-1,50,1000,3.730,1.851,11.781,-15.602,6.177,92.18,1
102,C₄H₈O₂,ethyl ethanoate (ethyl acetate),141-78-6,298,1000,10.228,-14.948,13.033,-15.736,5.999,113.64,1
103,C₄H₉Cl,2-chlorobutane,78-86-4,200,1000,4.450,22.285,4.350,-7.215,3.015,110.22,1
104,C₄H₁₀,butane,106-97-8,200,1000,5.547,5.536,8.057,-10.571,4.134,98.49,1
105,C₄H₁₀,2-methylpropane (isobutane),75-28-5,50,1000,3.351,17.883,5.477,-8.099,3.243,96.65,1
106,C₄H₁₀O,1-butanol,71-36-3,50,1000,4.467,16.395,6.688,-9.690,3.864,108.03,1
107,C₄H₁₀O,2-methyl-2-propanol (tert-butanol),75-65-0,50,1000,2.611,36.052,1.517,-4.360,1.947,113.63,1
108,C₄H₁₀O,2-butanol (sec-butanol),78-92-2,50,1000,3.860,28.561,2.728,-5.140,2.117,112.74,1
109,C₄H₁₀O,diethyl ether,60-29-7,100,1000,4.612,37.492,-1.870,1.316,-0.698,119.46,1
110,C₄H₁₀S,3-thiapentane (diethyl sulfide),352-93-2,273,1000,4.335,26.082,3.959,-6.881,2.900,116.57,1
111,C₄H₁₁N,1-butanamine (butyl amine),109-73-9,298,1000,2.668,38.366,1.150,-3.817,1.712,113.90,1
112,C₄H₁₁N,n-ethylethanamine (diethyl amine),109-89-7,298,1000,3.028,32.373,2.828,-5.501,2.300,116.00,1
113,C₄H₁₁N,2-methyl-1-propanamine (isobutyl amine),78-81-9,298,1000,0.380,53.027,-2.436,0.207,0.038,117.09,1
114,C5F12,dodecafluoropentane,678-26-2,200,1000,2.315,123.238,-14.997,8.875,-2.081,231.95,1
115,C5H5N,pyridine,110-86-1,298,1000,-3.505,49.389,-1.746,-1.595,1.097,78.23,1
116,C5H6O,2-methylfuran,534-22-5,50,1000,3.952,5.535,9.252,-13.046,5.353,89.66,1
117,C5H8,1-pentyne,627-19-0,50,1000,3.382,31.688,0.790,-3.109,1.417,106.69,1
118,C5H8,cyclopentene,142-29-0,50,1000,4.555,-12.408,15.195,-19.676,7.900,81.25,1
119,C5H8O,cyclopentanone,120-92-3,50,1000,4.294,-1.236,13.080,-17.531,7.071,95.32,1
120,C5H10,cyclopentane,287-92-3,50,1000,5.019,-19.734,17.917,-21.696,8.215,82.76,1
121,C5H10,1-pentene,109-67-1,200,1000,5.079,11.919,7.838,-10.962,4.381,108.20,1
122,C5H10,cis-2-pentene,627-20-3,298,1000,2.901,31.785,1.842,-3.953,1.609,108.87,1
123,C5H10,2-methyl-2-butene,513-35-9,298,1000,1.240,39.303,0.270,-2.500,1.120,105.00,1
124,C5H10,3-methyl-1-butene,563-45-1,298,1000,2.108,41.912,-0.416,-1.937,0.954,115.00,1
125,C5H10O,cyclopentanol,96-41-3,50,1000,4.370,5.723,13.357,-18.752,7.733,113.00,1
126,C5H10O,2-pentanone (methyl propyl ketone),107-87-9,200,1000,7.836,9.051,8.063,-10.847,4.283,125.90,1
127,C5H10O,3-pentanone (diethyl ketone),96-22-0,200,1000,8.071,13.654,6.120,-8.337,3.253,129.87,1
128,C5H11Cl,1-chloropentane,543-59-9,200,1000,7.052,9.759,10.210,-14.077,5.640,130.58,1
129,C5H12,pentane,109-66-0,200,1000,7.554,-0.368,11.846,-14.939,5.753,120.04,1
130,C5H12,2-methylbutane,78-78-4,200,1000,1.959,38.191,2.434,-5.175,2.165,118.97,1
131,C5H12,"2,2-dimethylpropane (neopentane)",463-82-1,200,1000,-11.428,156.037,-33.383,40.127,-17.806,120.80,1
132,C5H12O,1-pentanol,71-41-0,200,1000,5.530,16.887,9.430,-13.725,5.607,130.70,1
133,C5H12O,2-methyl-2-butanol,75-85-4,298,1000,4.282,27.248,6.649,-10.683,4.474,131.69,1
134,C₆Cl₅F,chloropentafluorobenzene,344-07-0,200,1000,2.994,74.969,-8.448,4.889,-1.177,158.30,1
135,C₆F₆,hexafluorobenzene,392-56-3,200,1000,2.531,75.268,-8.410,4.845,-1.166,155.38,1
136,C₆F₁₄,tetradecafluorohexane,355-42-0,200,1000,2.660,146.733,-18.179,11.086,-2.710,273.99,1
137,C₆HF₅,pentafluorobenzene,363-72-4,200,1000,1.197,72.572,-7.369,3.676,-0.718,143.02,1
138,C₆H₂F₄,"1,2,4,5-tetrafluorobenzene",327-54-8,200,1000,0.007,69.341,-6.192,2.343,-0.202,131.21,1
139,C₆H₅Cl,chlorobenzene,108-90-7,200,1000,0.104,38.288,1.808,-5.732,2.718,97.99,1
140,C₆H₆,benzene,71-43-2,50,1000,3.551,-6.184,14.365,-19.807,8.234,82.43,1
141,C₆H₆O,phenol,108-95-2,50,1000,2.582,17.501,8.894,-14.435,6.317,103.22,1
142,C₆H₇N,benzeneamine (aniline),62-53-3,50,1000,2.598,19.936,8.438,-13.368,5.630,107.90,1
143,C₆H₇N,2-methylpyridine (2-picoline),109-06-8,50,1000,4.156,2.699,12.517,-17.424,7.163,100.17,1
144,C₆H₇N,3-methylpyridine (3-picoline),108-99-6,50,1000,4.140,2.780,12.458,-17.328,7.118,99.99,1
145,C₆H₇N,4-methylpyridine (4-picoline),1108-89-4,50,1000,3.904,4.296,12.062,-16.884,6.942,99.70,1
146,C₆H₁₀,cyclohexene,110-83-8,50,1000,3.874,-0.909,14.902,-19.907,8.011,101.49,1
147,C₆H₁₀O,cyclohexanone,108-94-1,50,1000,4.416,-1.248,17.367,-23.640,9.595,116.19,1
148,C₆H₁₂,cyclohexane,110-82-7,100,1000,4.035,-4.433,16.834,-20.775,7.746,106.10,1
149,C₆H₁₂,methylcyclopentane,96-37-7,50,1000,5.379,-8.258,17.293,-21.646,8.263,109.50,1
150,C₆H₁₂,1-hexene,592-41-6,200,1000,6.303,12.352,10.258,-14.272,5.708,130.83,1
151,C₆H₁₂,4-methylpent-1-ene,691-37-2,298,1000,-1.326,65.625,-3.560,0.514,0.176,126.59,1
152,C₆H₁₂O,cyclohexanol,108-93-0,50,1000,3.239,21.585,10.322,-14.762,5.885,128.06,1
153,C₆H₁₂O,2-hexanone (methyl butyl ketone),591-78-6,200,1000,9.146,8.701,10.736,-14.496,5.768,148.53,1
154,C₆H₁₂O,3-hexanone (ethyl propyl ketone),589-38-8,200,1000,9.357,13.505,8.735,-11.918,4.710,152.51,1
155,C6H14,hexane,110-54-3,200,1000,8.831,-0.166,14.302,-18.314,7.124,142.59,1
156,C6H14,2-methylpentane,107-83-5,200,1000,2.096,46.419,3.124,-6.829,2.902,142.21,1
157,C6H14,3-methylpentane,96-14-0,200,1000,0.433,11.143,0.730,-1.612,0.690,140.10,1
158,C6H14,"2,2-dimethylbutane",75-83-2,200,1000,3.007,39.059,4.851,-8.243,3.367,141.50,1
159,C6H14,"2,3-dimethylbutane",79-29-8,200,1000,-2.214,74.352,-3.697,0.273,0.308,139.41,1
160,C6H14O,1-hexanol,111-27-3,200,1000,6.784,17.060,11.935,-17.147,6.985,153.30,1
161,C6H15N,"N,N-diethylethanamine (triethyl amine)",121-44-8,298,1000,4.581,40.089,5.793,-10.032,4.193,161.00,1
162,C7F16,hexadecafluoroheptane,335-57-9,200,1000,3.002,170.245,-21.365,13.301,-3.341,316.03,1
163,C7H5F5,pentafluorotoluene,771-56-2,298,1000,6.079,48.333,0.158,-3.861,1.948,164.30,1
164,C7H8,toluene,108-88-3,50,1000,3.866,3.558,13.356,-18.659,7.690,103.75,1
165,C7H8O,2-methylphenol (o-cresol),95-48-7,50,1000,3.123,31.032,6.152,-10.805,4.642,127.30,1
166,C7H8O,3-methylphenol (m-cresol),108-39-4,50,1000,2.876,26.142,8.544,-14.238,6.189,124.68,1
