no.,Name,Formula,CAS no.,molecular weight,C1,C2,C3,C4,C5,Tmin,Cp × 1E-05,Tmax,Cp × 1E-05,Eq
,,,,MW,C1,C2,C3,C4,C5,Tmin,Cp(min),Tmax,Cp(max),-
-,-,-,-,-,1,1,1,1,1,K,J/kmol.K,K,J/kmol.K,J/kmol.K
96,Diethyl sulfide,C4H10S,352-93-2,90.187,238520.000,-1.0384E+03,4.0587E+00,-4.4691E-03,,181.95,1.5703,322.08,1.7579,1
97,"1,1-Difluoroethane ",C2H4F2,75-37-6,66.050,67.155,1.0558E+05,3.1021E+02,-4.9054E+02,,154.56,0.9915,359.98,1.6874,2
98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.050,82577.000,1.0985E+02,,,,215.00,1.0619,283.65,1.1374,1
99,Difluoromethane,CH2F2,75-10-5,52.023,263980.000,-1.7911E+03,4.3666E+00,,,200.00,0.8042,250.00,0.8912,1
100,Di-isopropyl amine,C6H15N,108-18-9,101.190,98434.000,4.2904E+02,,,,275.00,2.1642,357.05,2.5162,1
101,Di-isopropyl ether,C6H14O,108-20-3,102.175,163000.000,-4.5000E+00,6.2000E-01,,,187.65,1.8399,341.45,2.3375,1
102,Di-isopropyl ketone,C7H14O,565-80-0,114.185,179270.000,2.8370E+01,5.3750E-01,,,204.81,2.0763,410.00,2.8126,1
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,187790.000,-3.1341E+02,1.1023E+00,,,159.95,1.6586,337.45,2.0755,1
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.148,199930.000,-1.9150E+02,8.7664E-01,,,226.10,2.0145,366.15,2.4734,1
105,Dimethyl acetylene,C4H6,503-17-3,54.090,88153.000,1.2416E+02,,,,240.91,1.1806,300.13,1.2542,1
106,Dimethyl amine,C2H7N,124-40-3,45.084,-214870.000,3.7872E+03,-1.3781E+01,1.6924E-02,,180.96,1.1947,298.15,1.3779,1
107,"2,3-Dimethylbutane",C6H14,79-29-8,86.175,129450.000,1.8500E+01,6.0800E-01,,,145.19,1.4495,331.13,2.0224,1
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.213,134500.000,8.7650E+00,8.1151E-01,,,239.66,1.8321,392.70,2.6309,1
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-4,112.213,150130.000,-6.2380E+01,8.8510E-01,,,223.16,1.8029,402.94,2.6870,1
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.213,155560.000,-1.4526E+02,1.0932E+00,,,184.99,1.6610,396.58,2.6989,1
111,Dimethyl disulfide,C2H6S2,624-92-0,94.199,171580.000,-2.5667E+02,5.7270E-01,,,188.44,1.4355,360.00,1.5340,1
112,Dimethyl ether,C2H6O,115-10-6,46.068,110100.000,-1.5747E+02,5.1853E-01,,,131.65,0.9836,250.00,1.0314,1
113,"N,N-Dimethyl formamide",C3H7NO,68-12-2,73.094,147900.000,-1.0600E+02,3.8400E-01,,,273.82,1.4767,466.44,1.8200,1
114,"2,3-Dimethylpentane",C7H16,565-59-3,100.202,146420.000,5.9200E+01,6.0400E-01,,,90.00,1.5664,380.00,2.5613,1
115,Dimethyl phthalate,C10H10O4,131-11-3,194.184,206560.000,3.2575E+02,,,,274.16,2.9587,360.00,3.2383,1
116,Dimethylsilane,C2H8Si,1111-74-6,60.170,131810.000,,,,,298.15,1.3181,298.15,1.3181,1
117,Dimethyl sulfide,C2H6 S,75-18-3,62.134,146950.000,-3.8006E+02,1.2035E+00,-8.4787E-04,,174.88,1.1276,310.48,1.1959,1
118,Dimethyl sulfoxide,C2H6 OS,67-68-5,78.133,240300.000,-5.9500E+02,1.0130E+00,,,291.67,1.5293,422.15,1.6965,1
119,Dimethyl terephthalate,C10H10O4,120-61-6,194.184,190020.000,4.3104E+02,,,,423.40,3.7252,466.35,3.9104,1
120,"1,4-Dioxane",C4H8 O2,123-91-1,88.105,956860.000,-5.5599E+03,9.6124E+00,,,284.95,1.5306,374.47,2.2277,1
121,Diphenyl ether,C12H10O,101-84-8,170.207,134160.000,4.4767E+02,,,,300.03,2.6847,570.00,3.8933,1
122,Dipropyl amine,C6H15N,142-84-7,101.190,49120.000,5.6224E+02,,,,277.90,2.0537,407.90,2.7846,1
123,Dodecane,C12H26,112-40-3,170.335,508210.000,-1.3687E+03,3.1015E+00,,,263.57,3.6292,330.00,3.9429,1
124,Eicosane,C20H42,112-95-8,282.547,352720.000,8.0732E+02,2.1220E-01,,,309.58,6.2299,616.93,9.3154,1
125,Ethane,C2H6,74-84-0,30.069,44.009,8.9718E+04,9.1877E+02,-1.8860E+03,,92.00,0.6855,290.00,1.2444,2
126,Ethanol,C2H6 O,64-17-5,46.068,102640.000,-1.3963E+02,-3.0341E-02,2.0386E-03,,159.05,0.8787,390.00,1.6450,1
127,Ethyl acetate,C4H8 O2,141-78-6,88.105,226230.000,-6.2480E+02,1.4720E+00,,,189.60,1.6068,350.21,1.8796,1
128,Ethyl amine,C2H7 N,75-04-7,45.084,121700.000,3.8993E+01,,,,192.15,1.2919,289.73,1.3300,1
129,Ethylbenzene,C8H10,100-41-4,106.165,154040.000,-1.4229E+02,8.0539E-01,,,178.20,1.5426,409.35,2.3075,1
130,Ethyl benzoate,C9H10O2,93-89-0,150.175,124500.000,3.7060E+02,,,,238.45,2.1287,486.55,3.0482,1
131,2-Ethyl butanoic acid,C6H12O2,88-09-5,116.158,56359.000,6.0302E+02,,,,258.15,2.1203,466.95,3.3794,1
132,Ethyl butyrate,C6H12O2,105-54-4,116.158,82434.000,4.2245E+02,2.0992E-01,,,285.50,2.2015,428.25,3.0185,1
133,Ethylcyclohexane,C8H16,1678-91-7,112.213,132360.000,7.2740E+01,6.4738E-01,,,161.84,1.6109,404.95,2.6798,1
134,Ethylcyclopentane,C7H14,1640-89-7,98.186,178520.000,-5.1835E+02,2.3255E+00,-1.6818E-03,,134.71,1.4678,301.82,1.8767,1
135,Ethylene,C2H4,74-85-1,28.053,247390.000,-4.4280E+03,4.0936E+01,-1.6970E-01,2.6816E-04,104.00,0.7012,252.70,0.9758,1
136,Ethylenediamine,C2H8 N2,107-15-3,60.098,184440.000,-1.5020E+02,3.7044E-01,,,284.29,1.7168,390.41,1.8226,1
137,Ethylene glycol,C2H6 O2,107-21-1,62.068,35540.000,4.3678E+02,-1.8486E-01,,,260.15,1.3666,493.15,2.0598,1
138,Ethyleneimine,C2H5 N,151-56-4,43.068,46848.000,2.0535E+02,,,,250.00,0.9819,329.00,1.1441,1
139,Ethylene oxide,C2H4 O,75-21-8,44.053,144710.000,-7.5887E+02,2.8261E+00,-3.0640E-03,,160.65,0.8303,283.85,0.8693,1
140,Ethyl formate,C3H6 O2,109-94-4,74.079,80000.000,2.2360E+02,,,,254.20,1.3684,374.20,1.6367,1
141,2-Ethyl hexanoic acid,C8H16O2,149-57-5,144.211,207670.000,-1.7907E+01,1.0493E+00,,,235.00,2.6141,510.10,4.7157,1
142,Ethylhexyl ether,C8H18O,5756-43-4,130.228,146040.000,4.5822E+02,,,,298.15,2.8266,417.15,3.3719,1
143,Ethylisopropyl ether,C5H12O,625-54-7,88.148,106250.000,2.9215E+02,,,,298.15,1.9335,326.15,2.0153,1
144,Ethylisopropyl ketone,C6H12O,565-69-5,100.159,229250.000,-4.0454E+02,1.1382E+00,,,204.15,1.9410,386.55,2.4295,1
145,Ethyl mercaptan,C2H6 S,75-08-1,62.134,134670.000,-2.3439E+02,5.9656E-01,,,125.26,1.1467,315.25,1.2007,1
146,Ethyl propionate,C5H10O2,105-37-3,102.132,76330.000,4.0010E+02,,,,298.15,1.9562,410.00,2.4037,1
147,Ethylpropyl ether,C5H12O,628-32-0,88.148,103680.000,7.2630E+02,-2.6047E+00,4.0957E-03,,145.65,1.6686,320.00,2.0358,1
148,Ethyltrichlorosilane,C2H5 Cl3Si,115-21-9,163.506,105150.000,8.5318E+01,4.6693E-01,,,167.55,1.3255,371.05,2.0109,1
149,Fluorine,F2,7782-41-4,37.997,-94585.000,7.5299E+03,-1.3960E+02,1.1301E+00,-3.3241E-03,58.00,0.5541,98.00,0.5966,1
149,Fluorine,F2,7782-41-4,37.997,1724400.000,-5.9924E+04,5.3785E+02,,,53.48,0.5798,56.00,0.5535,1
150,Fluorobenzene,C6H5 F,462-06-6,96.102,-991200.000,1.1734E+04,-4.0669E+01,4.7333E-02,,239.99,1.3675,319.99,1.5018,1
151,Fluoroethane,C2H5 F,353-36-6,48.060,85663.000,-1.1856E+02,5.5459E-01,,,140.00,0.7994,240.00,0.8915,1
152,Fluoromethane,CH3F,593-53-3,34.033,74746.000,-1.3232E+02,5.3772E-01,,,140.00,0.6676,220.00,0.7166,1
153,Formaldehyde,CH2O,50-00-0,30.026,61900.000,2.8300E+01,,,,204.00,0.6767,234.00,0.6852,1
154,Formamide,CH3NO,75-12-7,45.041,63400.000,1.5060E+02,,,,292.00,1.0738,493.00,1.3765,1
155,Formic acid,CH2O2,64-18-6,46.026,78060.000,7.1540E+01,,,,281.45,0.9820,380.00,1.0525,1
156,Furan,C4H4 O,110-00-9,68.074,114370.000,-2.1569E+02,7.2691E-01,,,187.55,0.9949,304.50,1.1609,1
157,Helium-4,He,7440-59-7,4.003,387220.000,-4.6557E+05,2.1180E+05,-4.2494E+04,3.2129E+03,2.20,0.1087,4.60,0.2965,1
157,Helium-4,He,7440-59-7,4.003,410430.000,-4.6489E+05,1.3510E+05,,,1.80,0.1135,2.10,0.2995,1
158,Heptadecane,C17H36,629-78-7,240.468,376970.000,3.4782E+02,5.7895E-01,,,295.13,5.3005,575.30,7.6869,1
159,Heptanal,C7H14O,111-71-7,114.185,222360.000,-1.0517E+02,6.5074E-01,,,229.80,2.3256,381.25,2.7685,1
160,Heptane,C7H16,142-82-5,100.202,61.260,3.1441E+05,1.8246E+03,-2.5479E+03,,182.57,1.9989,520.00,4.0657,2
161,Heptanoic acid,C7H14O2,111-14-8,130.185,194570.000,-2.3206E+01,8.8395E-01,,,265.83,2.5087,496.15,4.0065,1
162,1-Heptanol,C7H16O,111-70-6,116.201,2416800.000,-2.6105E+04,1.1003E+02,-1.9172E-01,1.1968E-04,239.15,2.3590,448.60,3.8766,1
163,2-Heptanol,C7H16O,543-49-7,116.201,283127.000,-1.0376E+03,3.4406E+00,,,230.00,2.2649,432.90,4.7873,1
164,3-Heptanone,C7H14O,106-35-4,114.185,270730.000,-3.9989E+02,1.0601E+00,,,234.15,2.3522,480.00,3.2303,1
165,2-Heptanone,C7H14O,110-43-0,114.185,265040.000,-3.7568E+02,1.0024E+00,,,238.15,2.3242,490.00,3.2163,1
166,1-Heptene,C7H14,592-76-7,98.186,267950.000,-1.3159E+03,6.5242E+00,-1.1994E-02,9.3808E-06,154.12,1.8150,366.79,2.4096,1
167,Heptyl mercaptan,C7H16S,1639-09-4,132.267,236870.000,-1.5801E+02,7.8982E-01,,,229.92,2.4229,460.00,3.3131,1
168,1-Heptyne,C7H12,628-71-7,96.170,46798.000,7.6113E+02,-6.2882E-01,,,200.00,1.7387,372.93,2.4319,1
169,Hexadecane,C16H34,544-76-3,226.441,370350.000,2.3147E+02,6.8632E-01,,,291.31,4.9602,560.01,7.1521,1
170,Hexanal,C6H12O,66-25-1,100.159,117700.000,3.2952E+02,,,,217.15,1.8926,401.45,2.4999,1
171,Hexane,C6H14,110-54-3,86.175,172120.000,-1.8378E+02,8.8734E-01,,,177.83,1.6750,460.00,2.7534,1
172,Hexanoic acid,C6H12O2,142-62-1,116.158,161980.000,4.4116E+01,7.0900E-01,,,269.25,2.2526,478.85,3.4568,1
173,1-Hexanol,C6H14O,111-27-3,102.175,1638600.000,-1.7261E+04,7.1721E+01,-1.2026E-01,7.1087E-05,228.55,1.9821,460.00,3.5197,1
174,2-Hexanol,C6H14O,626-93-7,102.175,267628.000,-1.0331E+03,3.3519E+00,,,223.00,2.0394,585.30,8.1124,1
175,2-Hexanone,C6H12O,591-78-6,100.159,208250.000,-1.0747E+02,2.0620E-01,7.0293E-04,,217.35,2.0185,460.00,2.7087,1
176,3-Hexanone,C6H12O,589-38-8,100.159,235960.000,-3.4594E+02,9.4278E-01,,,217.50,2.0532,460.00,2.7632,1
177,1-Hexene,C6H12,592-41-6,84.159,164640.000,-2.0037E+02,8.7840E-01,,,133.39,1.5354,336.63,1.9673,1
178,3-Hexyne,C6 H10,928-49-4,82.144,82795.000,2.8340E+02,,,,300.00,1.6781,354.35,1.8322,1
179,Hexyl mercaptan,C6 H14S,111-31-9,118.240,303320.000,-1.0090E+03,3.3885E+00,-2.7620E-03,,192.62,2.1495,430.00,2.7639,1
180,1-Hexyne,C6 H10,693-02-7,82.144,93000.000,3.2600E+02,,,,200.00,1.5820,344.48,2.0530,1
181,2-Hexyne,C6 H10,764-35-2,82.144,94860.000,2.5415E+02,,,,300.00,1.7110,357.67,1.8576,1
182,Hydrazine,H4N2,302-01-2,32.045,79815.000,5.0929E+01,4.3379E-02,,,274.69,0.9708,653.15,1.3158,1
183,Hydrogen ,H2,1333-74-0,2.016,66.653,6.7659E+03,-1.2363E+02,4.7827E+02,,13.95,0.1262,32.00,1.3122,2
184,Hydrogen bromide,HBr,10035-10-6,80.912,57720.000,9.9000E+00,,,,185.15,0.5955,206.45,0.5976,1
185,Hydrogen chloride,HCl,7647-01-0,36.461,47300.000,9.0000E+01,,,,165.00,0.6215,185.00,0.6395,1
186,Hydrogen cyanide,CHN,74-90-8,27.025,95398.000,-1.9752E+02,3.8830E-01,,,259.83,0.7029,298.85,0.7105,1
