no.,Name,Formula,CAS-number,molecular-weight,enthalpy-of-formation,gibbs-energy-of-formation,standard-entropy,standard-net-enthalpy-of-combustion
,-,-,-,MW,EnFo_IG,GiEnFo_IG,Ent_IG,EnCo_STD
-,-,-,-,g/mol,kJ/mol,kJ/mol,J/mol.K,kJ/mol
205,2-Methyl-1-butene,C5H10,563-46-2,70.133,-35.3,66.68,339.5,-31.159
206,2-Methyl-2-butene,C5H10,513-35-9,70.133,-41.8,60.45,338.6,-31.088
207,2-Methyl -1-butene-3-yne,C5H6,78-80-8,66.101,260,302.5,278,-29.3
208,Methylbutyl ether,C5H12O,628-28-4,88.148,-258.1,-101.7,390.1,-31.2818
209,Methylbutyl sulfide,C5H12S,628-29-5,104.214,-102,26.91,411.8,-35.723
210,3-Methyl-1-butyne,C5H8,598-23-2,68.117,138,207.2,318.9,-30.46
211,Methyl butyrate,C5H10O2,623-42-7,102.132,-450.7,-305.3,398.8,-26.86
212,Methylchlorosilane,CH5ClSi,993-00-0,80.589,-215,-166.1,298.277,-16.93
213,Methylcyclohexane,C7H14,108-87-2,98.186,-154.8,27.33,343.3,-42.5714
214,1-Methylcyclohexanol,C7H14O,590-67-0,114.185,-332,-129,375,-40.58
215,cis-2-Methylcyclohexanol,C7H14O,7443-70-1,114.185,-327,-126.8,385.3,-40.574
216,trans-2-Methylcyclohexanol,C7H14O,7443-52-9,114.185,-352.6,-152.4,385.3,-40.318
217,Methylcyclopentane,C6H12,96-37-7,84.159,-106.2,36.3,339.9,-36.741
218,1-Methylcyclopentene,C6H10,693-89-0,82.144,-3.8,103.8,326.4,-35.34
219,3-Methylcyclopentene,C6H10,1120-62-3,82.144,7.4,113.8,330.5,-35.464
220,Methyldichlorosilane,CH4Cl2Si,75-54-7,115.034,-402,-348.3,328.7,-13.57
221,Methylethyl ether,C3H8O,540-67-0,60.095,-216.4,-117.1,308.81,-19.314
222,Methylethyl ketone,C4H8O,78-93-3,72.106,-239,-147,339.4,-22.68
223,Methylethyl sulfide,C3H8S,624-89-5,76.161,-59.6,11.47,333.2,-23.54
224,Methyl formate,C2H4O2,107-31-3,60.052,-352.4,-295,285.2,-8.924
225,Methylisobutyl ether,C5H12O,625-44-5,88.148,-266,-107,381,-31.22
